_id,OBJECTID,SEGMENT_ID,INSTALLED,UPGRADED,PRE_AMALGAMATION,STREET_NAME,FROM_STREET,TO_STREET,ROADCLASS,CNPCLASS,SURFACE,OWNER,DIR_LOWORDER,INFRA_LOWORDER,SEPA_LOWORDER,SEPB_LOWORDER,ORIG_LOWORDER_INFRA,DIR_HIGHORDER,INFRA_HIGHORDER,SEPA_HIGHORDER,SEPB_HIGHORDER,ORIG_HIGHORDER,BYLAWED,EDITOR,LAST_EDIT_DATE,UPGRADE_DESCRIPTION,CONVERTED,geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,257,257,2001,0, ,East Don River Trl,East Don River Trl Branch,East Don River Trl Branch, , , , , ,Multi-Use Trail - Entrance, , , , ,Multi-Use Trail - Entrance, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3810196611996, 43.7955894197765], [-79.3809885410999, 43.7956039962108], [-79.3809601282937, 43.7956131567757], [-79.3809407963911, 43.7956175111886], [-79.3809160127162, 43.7956201136985], [-79.3808954725749, 43.7956196512398], [-79.380866524588, 43.7956167137038]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,258,258,2001,0, ,Winfields Park Trl,Tudor Gt,Winfields Park Trl Branch, , , , , ,Multi-Use Trail - Entrance, , , , ,Multi-Use Trail - Entrance, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3797707647145, 43.7450244767737], [-79.3796376442342, 43.7450531945512], [-79.3792219788957, 43.7451459276127], [-79.3790597044371, 43.7451810407705], [-79.3790272448461, 43.7451891525158], [-79.3790047783711, 43.745198174952], [-79.3789722896211, 43.7452207515961], [-79.3789197755912, 43.7452731730355], [-79.3788797688674, 43.745311115756], [-79.3788373004024, 43.7453445372451], [-79.3787848281208, 43.7453761568688], [-79.3787435924044, 43.7454077703869], [-79.378724343029, 43.7454345285644]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,259,259,2001,0, ,Barton Ave,Howland Ave,Brunswick Ave, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4098304084147, 43.6686493055794], [-79.4086437323138, 43.6689052433722]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,260,260,2001,0, ,Brunswick Ave,Barton Ave,Lowther Ave, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4083032635947, 43.6680365582472], [-79.4086437323138, 43.6689052433722]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,261,261,2001,0, ,Lowther Ave,Brunswick Ave,Bedford Rd, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4083032635947, 43.6680365582472], [-79.4074896046999, 43.6682035884941], [-79.4073435248681, 43.6682312032871], [-79.4064106409839, 43.6684245120519], [-79.4062624655955, 43.6684354712822], [-79.4062463997079, 43.6684403188262], [-79.4062236965725, 43.668447159219], [-79.4062068869256, 43.6684598013009], [-79.4061868254677, 43.6684822881691], [-79.4061506078619, 43.6685277331701], [-79.4061079070281, 43.6685797348054], [-79.4060826760143, 43.6686092474488], [-79.4060503330246, 43.6686429758663], [-79.4060166901724, 43.6686752899966], [-79.4059643088616, 43.668724475202], [-79.4059096319568, 43.6687825248052], [-79.4058560027478, 43.6687731552709], [-79.4058276813502, 43.6687725378548], [-79.4057989507427, 43.6687719200946], [-79.4057755490197, 43.6687733860273], [-79.4057361370759, 43.6687757388872], [-79.4047727084952, 43.6689620780485], [-79.4036134809253, 43.6692199937651], [-79.402419613817, 43.6694595594431], [-79.4007639479257, 43.6698157569739], [-79.3994547170835, 43.6700940411905], [-79.3989789908826, 43.6701912051784], [-79.3983217915252, 43.6703254354092]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,262,262,2001,0, ,Huron St,Lowther Ave,Prince Arthur Ave, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.402419613817, 43.6694595594431], [-79.4020204968295, 43.6683894188163]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,263,263,2001,0, ,Prince Arthur Ave,Huron St,St George St, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4020204968295, 43.6683894188163], [-79.4011339704383, 43.6685601128909], [-79.4003200374776, 43.6687415929962]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,264,264,2001,2020, ,Elm Ave,Sherbourne St N,Glen Rd, , , , , ,Sharrows - Wayfinding, , , , ,Sharrows - Wayfinding, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3778631587022, 43.6750329030278], [-79.3776994451972, 43.6751182405414], [-79.3767483642093, 43.6755177778097], [-79.3762480108912, 43.675719766936], [-79.3761052983288, 43.6757646189486], [-79.3759144514358, 43.6758409231628], [-79.3755759516102, 43.6759215670967], [-79.3751696067913, 43.6760111462798]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,265,265,2001,0, ,Governors Bdge,Astley Ave,Nesbitt Dr, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3697365291394, 43.6890925198273], [-79.3690631795684, 43.6898771678016], [-79.368904559963, 43.6900598563599], [-79.3683594749939, 43.6907560293206]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,266,266,2001,0, ,Astley Ave,Governors Bdge,Douglas Dr, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3691464857907, 43.6876877511036], [-79.3697365291394, 43.6890925198273]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,267,267,2001,0, ,Russell Hill Rd,Forest Hill Rd,Heath St W, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4087124734276, 43.687422258218], [-79.4094911620232, 43.6893416576956], [-79.4095159142068, 43.6894373070933], [-79.4101228304749, 43.6909180763417], [-79.410523941854, 43.6918866244185], [-79.4112197361035, 43.6935147539], [-79.4114813350305, 43.6941266305836], [-79.4115646327309, 43.6943330586665], [-79.4116726577305, 43.6945041217161], [-79.4119365449884, 43.6949995133243], [-79.4124418353646, 43.6961132259657], [-79.4125527545888, 43.6963881472103], [-79.4128172797009, 43.6970362439476], [-79.4131013868041, 43.6977364543311], [-79.4137026410773, 43.699149760506], [-79.4138360067494, 43.6994479566196], [-79.4141800126466, 43.700374051328]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,268,268,2001,2021, ,Heath St W,Russell Hill Rd,Dunvegan Rd, , , , , ,Sharrows - Wayfinding, , , , ,Sharrows - Wayfinding, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4087124734276, 43.687422258218], [-79.4071856192518, 43.6877436803383], [-79.4055706622923, 43.6880594194896]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,269,269,2001,0, ,Lascelles Blvd,Eglinton Ave W,Oriole Park Trl, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4006125477734, 43.6976830896575], [-79.4007556592306, 43.6980787844961], [-79.4010709116552, 43.6989425960084], [-79.401660240787, 43.7004877156436], [-79.4023655914102, 43.7023255175495], [-79.4028732412352, 43.7036505510276], [-79.4029528449382, 43.7037369858869], [-79.4030583141486, 43.7038415982028], [-79.4037502206298, 43.7056026882376]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,270,270,2001,0, ,Orchard View Blvd,Eglinton Park Trl,Edith Dr, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4039253985141, 43.7071158684584], [-79.4033134722269, 43.7072404701586]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,271,271,2001,0, ,Edith Dr,Roselawn Ave,Orchard View Blvd, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4033134722269, 43.7072404701586], [-79.403578509423, 43.7078617726872], [-79.4036309998484, 43.7080148385383], [-79.4036529890731, 43.708091367866], [-79.4036830986722, 43.7081724046659], [-79.4037429294586, 43.7083524804494], [-79.4037799317098, 43.7084920222708], [-79.4038038138397, 43.7085955569626], [-79.4038331022118, 43.7087170987331], [-79.4038755418286, 43.7088476438207], [-79.4038854358241, 43.7089691692611], [-79.4039042660421, 43.7090817009432], [-79.4039246421913, 43.7091897332855], [-79.4039516414004, 43.7092842602848], [-79.4039868291075, 43.7093562999872], [-79.4040274414526, 43.7094193429652], [-79.4040909140091, 43.7094959070125], [-79.4041516959689, 43.7095634675002], [-79.4041903728635, 43.7096265087951], [-79.4042332611217, 43.7097255586724], [-79.4042664725925, 43.709815599161], [-79.4042853988079, 43.7098606213443]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,272,272,2001,0, ,Millwood Rd,Leaside Bdge,83.8 M E Hepc, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3535896784832, 43.7020544480553], [-79.353369324449, 43.7020401326078], [-79.353151953056, 43.7019984296774], [-79.352842379966, 43.7019179111745], [-79.3527790680959, 43.7018867212312], [-79.3527126439367, 43.7018598478561], [-79.3526088702407, 43.7018042572161], [-79.3524870803204, 43.7017491833095], [-79.352369750832, 43.7016966984005], [-79.3522557804772, 43.7016253870371], [-79.3521796904158, 43.7015838917815], [-79.3520633518054, 43.7015071043846], [-79.3519495826949, 43.7014248924249], [-79.3518316162916, 43.7013291999951], [-79.3517447471823, 43.7012516493523], [-79.3516736610756, 43.7011837324905], [-79.3515967797788, 43.7011062757048], [-79.3515328067957, 43.7010318780657], [-79.3514841017127, 43.700969651956], [-79.3514293084089, 43.7008859138538]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,273,273,2001,2019, ,Royal York Rd,Eglinton Ave West Trl,Ashley Park Rd, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.5185087951542, 43.6633841932402], [-79.5191619756421, 43.6649098126654], [-79.5196487625114, 43.6659538581754], [-79.52017284571, 43.6672724445579], [-79.5202841661088, 43.6675829708935], [-79.5206506788729, 43.6684245299454], [-79.5209861849712, 43.6691850904121], [-79.5209963289875, 43.6692220210126], [-79.5210917049475, 43.669482114925], [-79.5213821990636, 43.6701121540981], [-79.5217895028115, 43.6711562313804], [-79.521945846269, 43.6715477502444], [-79.5221320244002, 43.6719617664132], [-79.5222744009978, 43.6722992795161], [-79.5224008457896, 43.67254228162], [-79.5225179924184, 43.67278979507], [-79.5225440776616, 43.6728378840124], [-79.5228279280597, 43.6733612997566], [-79.5231262157295, 43.6739418072265], [-79.5233714076039, 43.6745268343896], [-79.5233815022703, 43.6745583369561], [-79.5236845739822, 43.6753863692201], [-79.5237070812896, 43.6754448731456], [-79.5243163023815, 43.676979416302], [-79.5246224486452, 43.6777129312339], [-79.5253022021291, 43.6792834855757], [-79.5259590896663, 43.680840547668], [-79.5260161265576, 43.6809755543962], [-79.5262694971616, 43.6815560721014], [-79.5265164049298, 43.6821236107945]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,274,274,2001,0, ,Royal York Rd,Braecrest Ave,La Rose Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.527413241577, 43.6841543466925], [-79.5281677541372, 43.6858669408635], [-79.528934739628, 43.6875815246706], [-79.5292603117664, 43.6883192155004], [-79.5292750271257, 43.6883525075461], [-79.5301774904287, 43.6903979532141], [-79.530352288978, 43.6907476163511], [-79.5308578907106, 43.6918691685488], [-79.5314072686065, 43.6931404967988], [-79.531539944563, 43.6934495376795], [-79.5316277583625, 43.6936540768008], [-79.5319106430102, 43.6942912986782], [-79.5323682146075, 43.6953131225995]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,275,275,2001,0, ,Sherbourne St N,Maple Ave,Bloor St E, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3768542862929, 43.6723585535877], [-79.3771429605877, 43.6731477853319], [-79.3771441074731, 43.6731509370281], [-79.3774043006797, 43.6738622759446], [-79.3775731021499, 43.6743350173022], [-79.3778631587022, 43.6750329030278]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
